OptionLongName,Strike,Expiration,CallPut,ImpliedVolatility,Volume,OpenInterest,Delta
SPXW 140103P1500000,1500,1/3/2014,P,1.393889,10076,13015,-0.001877
SPXW 140103P1520000,1520,1/3/2014,P,1.312651,95,366,-0.001986
SPXW 140103P1525000,1525,1/3/2014,P,1.292457,121,9055,-0.002015
SPXW 140103P1530000,1530,1/3/2014,P,1.272311,59,561,-0.002045
SPXW 140103P1535000,1535,1/3/2014,P,1.252204,58,4887,-0.002076
SPXW 140103P1540000,1540,1/3/2014,P,1.232141,60,342,-0.002108
SPXW 140103P1545000,1545,1/3/2014,P,1.212121,92,975,-0.002141
SPXW 140103P1550000,1550,1/3/2014,P,1.192143,685,5170,-0.002174
SPXW 140103P1555000,1555,1/3/2014,P,1.172205,634,486,-0.002209
SPXW 140103P1560000,1560,1/3/2014,P,1.152308,159,2410,-0.002245
SPXW 140103P1565000,1565,1/3/2014,P,1.132447,81,7744,-0.002282
SPXW 140103P1570000,1570,1/3/2014,P,1.144503,305,1259,-0.002945
SPXW 140103P1575000,1575,1/3/2014,P,1.124242,2299,13977,-0.002995
SPXW 140103P1580000,1580,1/3/2014,P,1.104016,72,2120,-0.003046
SPXW 140103P1585000,1585,1/3/2014,P,1.083827,81,689,-0.003099
SPXW 140103P1590000,1590,1/3/2014,P,1.063673,664,2593,-0.003154
SPXW 140103P1595000,1595,1/3/2014,P,1.067973,356,420,-0.003856
SPXW 140103P1600000,1600,1/3/2014,P,1.047489,728,28857,-0.003927
SPXW 140103P1605000,1605,1/3/2014,P,1.027041,92,1300,-0.003999
SPXW 140103P1610000,1610,1/3/2014,P,1.006621,175,6389,-0.004075
SPXW 140103P1615000,1615,1/3/2014,P,1.005942,150,807,-0.004817
SPXW 140103P1620000,1620,1/3/2014,P,0.985245,0,449,-0.004911
SPXW 140103P1625000,1625,1/3/2014,P,0.945533,148,6646,-0.004319
SPXW 140103P1630000,1630,1/3/2014,P,0.943922,13,440,-0.00511
SPXW 140103P1635000,1635,1/3/2014,P,0.923297,1000,1360,-0.005216
SPXW 140103P1640000,1640,1/3/2014,P,0.902698,83,4169,-0.005326
SPXW 140103P1645000,1645,1/3/2014,P,0.897791,19,404,-0.00616
SPXW 140103P1650000,1650,1/3/2014,P,0.876931,1429,5452,-0.006295
SPXW 140103P1655000,1655,1/3/2014,P,0.869702,67,1335,-0.007162
SPXW 140103P1660000,1660,1/3/2014,P,0.848606,119,1472,-0.007325
SPXW 140103P1665000,1665,1/3/2014,P,0.839496,1934,4803,-0.008232
SPXW 140103P1670000,1670,1/3/2014,P,0.806452,87,1075,-0.007677
SPXW 140103P1675000,1675,1/3/2014,P,0.785394,314,2264,-0.007865
SPXW 140103P1680000,1680,1/3/2014,P,0.775568,4835,1525,-0.008852
SPXW 140103P1685000,1685,1/3/2014,P,0.75427,96,2517,-0.009081
SPXW 140103P1690000,1690,1/3/2014,P,0.742913,704,796,-0.010126
SPXW 140103P1695000,1695,1/3/2014,P,0.721386,227,7063,-0.010402
SPXW 140103P1700000,1700,1/3/2014,P,0.69038,1816,10209,-0.009846
SPXW 140103P1705000,1705,1/3/2014,P,0.678318,4,1701,-0.011002
SPXW 140103P1710000,1710,1/3/2014,P,0.656769,80,887,-0.01133
SPXW 140103P1715000,1715,1/3/2014,P,0.651121,243,1396,-0.013452
SPXW 140103P1720000,1720,1/3/2014,P,0.621608,55,2419,-0.012976
SPXW 140103P1725000,1725,1/3/2014,P,0.607088,54,4738,-0.014332
SPXW 140103P1730000,1730,1/3/2014,P,0.585031,166,1254,-0.01482
SPXW 140103P1735000,1735,1/3/2014,P,0.562941,209,6566,-0.015344
SPXW 140103P1740000,1740,1/3/2014,P,0.54713,554,4209,-0.016909
SPXW 140103P1745000,1745,1/3/2014,P,0.524756,225,1216,-0.017557
SPXW 140103P1750000,1750,1/3/2014,P,0.507958,7832,7242,-0.01931
SPXW 140103P1755000,1755,1/3/2014,P,0.495451,279,1299,-0.022229
SPXW 140103P1760000,1760,1/3/2014,P,0.467534,196,4128,-0.02211
SPXW 140103P1765000,1765,1/3/2014,P,0.439691,298,2015,-0.021972
SPXW 140103P1770000,1770,1/3/2014,P,0.430119,712,4858,-0.026599
SPXW 140103P1775000,1775,1/3/2014,P,0.406539,642,4637,-0.027964
SPXW 140103P1780000,1780,1/3/2014,P,0.386618,5367,3934,-0.030741
SPXW 140103P1785000,1785,1/3/2014,P,0.362591,274,10871,-0.032531
SPXW 140103P1790000,1790,1/3/2014,P,0.338395,356,2422,-0.034569
SPXW 140103P1795000,1795,1/3/2014,P,0.323183,1922,1753,-0.041162
SPXW 140103P1800000,1800,1/3/2014,P,0.29805,1337,11422,-0.044175
SPXW 140103P1805000,1805,1/3/2014,P,0.282543,2235,2906,-0.053778
SPXW 140103P1810000,1810,1/3/2014,P,0.260485,3069,2255,-0.061598
SPXW 140103P1815000,1815,1/3/2014,P,0.244618,3832,13904,-0.077053
SPXW 140103P1820000,1820,1/3/2014,P,0.2316,2067,4981,-0.100694
SPXW 140103P1825000,1825,1/3/2014,P,0.217587,5613,7245,-0.131725
