root_symbol,expiration_date,strike,put_call,undly_symbol,start_date,end_date,implied_volatility_1545,trade_volume,open_interest,implied_underlying_price_1545,active_underlying_price_1545
SPXW,1/3/2014,1300,c,^SPX,11/27/2013,1/3/2014,1.5396,0,0,1845.72,1845.72
SPXW,1/3/2014,1300,p,^SPX,11/27/2013,1/3/2014,1.1885,0,1392,1845.72,1845.72
SPXW,1/3/2014,1325,c,^SPX,11/27/2013,1/3/2014,1.4649,0,0,1845.72,1845.72
SPXW,1/3/2014,1325,p,^SPX,11/27/2013,1/3/2014,1.126,0,571,1845.72,1845.72
SPXW,1/3/2014,1350,c,^SPX,11/27/2013,1/3/2014,1.3891,0,0,1845.72,1845.72
SPXW,1/3/2014,1350,p,^SPX,11/27/2013,1/3/2014,1.0635,0,861,1845.72,1845.72
SPXW,1/3/2014,1375,c,^SPX,11/27/2013,1/3/2014,1.3151,0,0,1845.72,1845.72
SPXW,1/3/2014,1375,p,^SPX,11/27/2013,1/3/2014,0.997,0,1486,1845.72,1845.72
SPXW,1/3/2014,1400,c,^SPX,11/27/2013,1/3/2014,1.2427,0,0,1845.72,1845.72
SPXW,1/3/2014,1400,p,^SPX,11/27/2013,1/3/2014,0.9435,0,10501,1845.72,1845.72
SPXW,1/3/2014,1410,c,^SPX,11/27/2013,1/3/2014,1.2132,0,0,1845.72,1845.72
SPXW,1/3/2014,1410,p,^SPX,11/27/2013,1/3/2014,0.9178,0,213,1845.72,1845.72
SPXW,1/3/2014,1420,c,^SPX,11/27/2013,1/3/2014,1.1846,0,0,1845.72,1845.72
SPXW,1/3/2014,1420,p,^SPX,11/27/2013,1/3/2014,0.8986,0,249,1845.72,1845.72
SPXW,1/3/2014,1425,c,^SPX,11/27/2013,1/3/2014,1.1709,0,0,1845.72,1845.72
SPXW,1/3/2014,1425,p,^SPX,11/27/2013,1/3/2014,0.8868,0,1200,1845.72,1845.72
SPXW,1/3/2014,1430,c,^SPX,11/27/2013,1/3/2014,1.1567,0,0,1845.72,1845.72
SPXW,1/3/2014,1430,p,^SPX,11/27/2013,1/3/2014,0.8754,0,409,1845.72,1845.72
SPXW,1/3/2014,1440,c,^SPX,11/27/2013,1/3/2014,1.1287,0,0,1845.72,1845.72
SPXW,1/3/2014,1440,p,^SPX,11/27/2013,1/3/2014,0.8502,0,644,1845.72,1845.72
SPXW,1/3/2014,1450,c,^SPX,11/27/2013,1/3/2014,1.1002,0,0,1845.72,1845.72
SPXW,1/3/2014,1450,p,^SPX,11/27/2013,1/3/2014,0.8287,0,2654,1845.72,1845.72
